Frame # 0
0 -240.971573 27
1 -162.332077 27
2 -174.110779 27
3 -180.471909 27
4 -183.692261 27
5 -186.303391 26
6 -187.449005 27
7 -188.848053 27
8 -189.509674 27
9 -189.640335 27
10 -190.164963 27
11 -190.029922 27
12 -190.181900 27
13 -190.009949 27
14 -189.895599 27
15 -189.449768 27
Frame # 1
0 -240.501633 27
1 -162.054260 27
2 -175.084961 27
3 -181.175156 27
4 -184.047043 27
5 -186.657303 27
6 -187.712143 26
7 -189.112183 27
8 -189.800919 27
9 -189.934662 27
10 -190.537476 27
11 -190.638123 27
12 -190.864975 27
13 -190.750366 27
14 -190.584702 27
15 -190.377533 27
Frame # 2
0 -234.573257 26
1 -163.443314 27
2 -176.856171 27
3 -182.933289 27
4 -185.998383 27
5 -188.336517 27
6 -189.644592 26
7 -190.961029 27
8 -191.548004 27
9 -191.308136 27
10 -191.655457 27
11 -191.676254 27
12 -191.937881 27
13 -191.860977 27
14 -191.667114 27
15 -191.212524 27
Frame # 3
0 -231.562286 26
1 -164.925308 27
2 -176.412994 27
3 -182.669556 27
4 -185.732285 27
5 -188.336517 27
6 -189.381470 27
7 -190.784546 26
8 -191.160110 27
9 -191.209625 27
10 -191.562317 27
11 -191.445953 27
12 -191.742722 27
13 -191.860977 27
14 -192.061325 27
15 -191.305298 27
Frame # 4
0 -239.371979 27
1 -162.888046 27
2 -174.907837 27
3 -181.263062 27
4 -184.401840 27
5 -186.922043 26
6 -187.888214 27
7 -189.200226 27
8 -189.898010 27
9 -190.228958 27
10 -190.630615 27
11 -190.407532 27
12 -190.572220 27
13 -190.195053 27
14 -189.895157 27
15 -189.356995 27
Frame # 5
0 -230.527283 26
1 -163.813721 27
2 -177.652863 27
3 -183.636536 27
4 -186.353165 27
5 -188.778427 27
6 -189.644592 26
7 -190.960632 26
8 -191.548004 27
9 -191.210052 27
10 -191.841690 27
11 -191.864990 27
12 -192.425766 27
13 -192.508865 27
14 -192.553558 27
15 -192.139862 27
Frame # 6
0 -239.466095 27
1 -165.666122 27
2 -177.741791 27
3 -183.724045 27
4 -186.707962 27
5 -189.043167 26
6 -190.172028 27
7 -191.489288 27
8 -192.033890 27
9 -192.093002 27
10 -192.586258 27
11 -192.578766 27
12 -193.108841 27
13 -192.879059 27
14 -192.652008 27
15 -192.047516 27
Frame # 7
0 -236.643280 27
1 -165.387955 27
2 -176.944733 27
3 -183.109100 27
4 -186.264481 27
5 -188.866776 27
6 -189.995941 26
7 -191.401245 27
8 -191.936798 27
9 -191.994904 27
10 -192.400024 27
11 -192.431244 27
12 -192.816544 27
13 -192.693970 27
14 -192.749985 27
15 -192.047516 27
Frame # 8
0 -229.962723 26
1 -164.091522 27
2 -175.704529 27
3 -181.702591 27
4 -184.579208 27
5 -186.922455 27
6 -187.800369 27
7 -189.111771 26
8 -189.703400 27
9 -189.836151 27
10 -190.165421 27
11 -190.218735 27
12 -190.669357 27
13 -190.750366 27
14 -190.584702 27
15 -190.098801 27
Frame # 9
0 -241.630203 27
1 -163.906677 27
2 -178.184601 27
3 -184.603516 27
4 -187.949722 27
5 -190.457214 26
6 -191.577454 27
7 -192.985580 26
8 -193.490158 27
9 -193.269867 27
10 -193.796906 27
11 -193.900375 27
12 -194.474945 27
13 -194.729645 27
14 -194.916153 27
15 -194.274155 27
Frame # 10
0 -243.700806 27
1 -166.869598 27
2 -179.601196 27
3 -186.097916 27
4 -189.368866 27
5 -192.136841 27
6 -193.421677 26
7 -195.098541 26
8 -195.528473 27
9 -195.722534 27
10 -196.125534 27
11 -196.017502 27
12 -196.133789 27
13 -196.118393 27
14 -196.097488 27
15 -195.572601 27
Frame # 11
0 -237.490662 27
1 -165.850967 27
2 -177.829987 27
3 -183.812347 27
4 -186.796646 27
5 -189.131927 27
6 -190.259872 27
7 -191.664948 26
8 -192.228043 27
9 -191.798279 27
10 -192.214203 27
11 -192.389969 27
12 -192.913681 27
13 -193.064163 27
14 -193.242661 27
15 -192.789307 27
Frame # 12
0 -241.159760 26
1 -166.129135 27
2 -178.892700 27
3 -185.130936 27
4 -188.127533 27
5 -190.634369 27
6 -191.665298 27
7 -193.425781 26
8 -193.781403 27
9 -194.545258 27
10 -195.008041 27
11 -194.749985 27
12 -195.060410 27
13 -194.730118 27
14 -194.227051 27
15 -193.439163 27
Frame # 13
0 -241.159760 27
1 -165.295349 27
2 -177.387543 27
3 -183.636536 27
4 -186.974060 27
5 -189.397079 27
6 -190.610825 26
7 -192.105576 27
8 -192.713013 27
9 -192.975967 27
10 -193.517517 27
11 -193.469376 27
12 -193.889923 27
13 -193.804596 27
14 -193.734421 27
15 -193.160828 27
Frame # 14
0 -248.593643 27
1 -164.554886 27
2 -176.767242 27
3 -183.284912 27
4 -186.442291 27
5 -189.043549 27
6 -190.172028 27
7 -191.488876 26
8 -192.033890 27
9 -192.092590 27
10 -192.679398 27
11 -192.578766 27
12 -193.011261 27
13 -193.249283 27
14 -193.341080 27
15 -192.882492 27
Frame # 15
0 -233.444656 27
1 -164.276718 27
2 -175.793457 27
3 -181.526779 27
4 -184.490524 27
5 -186.745697 27
6 -187.712143 26
7 -188.936111 27
8 -189.606323 27
9 -189.640335 27
10 -190.072281 27
11 -189.977509 27
12 -190.376617 27
13 -190.472702 27
14 -190.387390 27
15 -189.820450 27
Frame # 16
0 -235.608292 27
1 -164.184494 27
2 -176.856171 27
3 -182.844986 27
4 -185.820984 27
5 -188.247742 26
6 -189.205795 27
7 -190.520844 27
8 -191.063034 27
9 -190.915726 27
10 -191.282486 27
11 -191.257141 27
12 -191.645584 27
13 -191.675446 27
14 -191.470673 27
15 -191.119751 27
Frame # 17
0 -241.066193 27
1 -165.295731 27
2 -178.272797 27
3 -184.603119 27
4 -187.684052 27
5 -190.192490 27
6 -191.138260 27
7 -192.545364 26
8 -193.198883 27
9 -193.269867 27
10 -193.796906 27
11 -193.711578 27
12 -193.889450 27
13 -193.897141 27
14 -194.030182 27
15 -193.717484 27
Frame # 18
0 -245.488007 26
1 -164.647507 27
2 -176.324463 27
3 -182.669556 27
4 -185.643600 27
5 -188.336517 27
6 -189.645004 27
7 -191.224747 26
8 -191.742630 27
9 -191.896362 27
10 -192.214203 27
11 -192.201157 27
12 -192.425766 27
13 -192.693970 27
14 -192.848877 27
15 -192.604172 27
Frame # 19
0 -236.831482 27
1 -163.998932 27
2 -176.236267 27
3 -182.493744 27
4 -185.466187 27
5 -187.805832 26
6 -188.854446 27
7 -190.168671 27
8 -190.868881 27
9 -190.915726 27
10 -191.375595 27
11 -191.393127 27
12 -191.743164 27
13 -191.953552 27
14 -191.864014 27
15 -191.212524 27
Frame # 20
0 -232.503723 27
1 -163.073257 27
2 -174.907837 27
3 -181.175156 27
4 -184.136154 27
5 -186.834076 27
6 -187.888214 27
7 -189.375900 26
8 -189.800919 27
9 -189.639908 27
10 -189.979172 27
11 -190.029922 27
12 -190.181473 27
13 -190.380173 27
14 -190.781570 27
15 -190.470306 27
Frame # 21
0 -236.832001 27
1 -162.239487 27
2 -173.402313 27
3 -179.592834 27
4 -182.450500 27
5 -184.889725 27
6 -185.867523 26
7 -187.263321 27
8 -187.955872 27
9 -187.972519 27
10 -188.489136 27
11 -188.656235 27
12 -189.108093 27
13 -189.176971 27
14 -189.206497 27
15 -188.799911 27
Frame # 22
0 -237.113754 27
1 -162.239822 27
2 -176.059143 27
3 -182.317551 27
4 -185.111404 27
5 -187.629105 26
6 -188.766602 27
7 -190.168671 27
8 -190.577606 27
9 -190.915298 27
10 -191.282486 27
11 -191.257141 27
12 -191.645157 27
13 -191.768433 27
14 -191.667572 27
15 -191.212524 27
Frame # 23
0 -245.018082 27
1 -165.295349 27
2 -179.601563 27
3 -186.185822 27
4 -189.723663 27
5 -192.313583 27
6 -193.773438 27
7 -195.363083 27
8 -196.110992 27
9 -196.213486 27
10 -196.590698 27
11 -196.732437 27
12 -197.012436 27
13 -197.229019 27
14 -197.376785 27
15 -196.779099 27
Frame # 24
0 -243.888977 27
1 -166.128784 27
2 -176.944366 27
3 -183.372818 27
4 -186.619263 27
5 -189.220306 27
6 -190.435135 26
7 -191.929489 27
8 -192.518845 27
9 -192.485443 27
10 -192.772980 27
11 -192.997513 27
12 -193.303986 27
13 -193.434387 27
14 -193.734421 27
15 -193.253174 27
Frame # 25
0 -243.982544 26
1 -163.999283 27
2 -176.590118 27
3 -182.669556 27
4 -185.909668 27
5 -188.513275 27
6 -189.645004 27
7 -191.224747 26
8 -191.839264 27
9 -192.190689 27
10 -192.679840 27
11 -192.714371 27
12 -192.913681 27
13 -192.879059 27
14 -192.750427 27
15 -192.510986 27
Frame # 26
0 -234.950134 27
1 -165.388321 27
2 -177.918915 27
3 -184.339386 27
4 -187.417526 27
5 -190.104111 27
6 -191.489609 27
7 -192.721436 26
8 -193.198883 27
9 -193.171753 27
10 -193.331726 27
11 -193.239578 27
12 -193.206406 27
13 -193.064163 27
14 -193.045761 27
15 -192.789307 27
Frame # 27
0 -234.667343 27
1 -164.925308 27
2 -176.413361 27
3 -182.405457 27
4 -185.554886 27
5 -187.894226 26
6 -189.117950 27
7 -190.432800 27
8 -190.965942 27
9 -190.719086 27
10 -190.909988 27
11 -190.879532 27
12 -191.059662 27
13 -191.305222 27
14 -191.470673 27
15 -191.119308 27
Frame # 28
0 -241.724319 27
1 -163.536270 27
2 -174.819275 27
3 -180.735626 27
4 -183.780945 27
5 -186.038269 26
6 -186.921982 27
7 -188.407837 27
8 -189.218414 27
9 -189.541824 27
10 -190.164963 27
11 -190.124329 27
12 -190.376617 27
13 -190.472702 27
14 -190.289368 27
15 -189.820862 27
Frame # 29
0 -231.468719 27
1 -162.424683 27
2 -175.527771 27
3 -181.350967 27
4 -184.047043 27
5 -186.303787 27
6 -187.360764 26
7 -188.495895 27
8 -189.217987 27
9 -189.247894 27
10 -189.699326 27
11 -189.599991 27
12 -190.083893 27
13 -190.102493 27
14 -190.092056 27
15 -189.635315 27
Frame # 30
0 -233.914612 26
1 -164.832336 27
2 -177.918549 27
3 -183.900253 27
4 -186.619263 27
5 -189.043549 27
6 -189.996353 27
7 -191.576920 26
8 -192.033417 27
9 -192.288803 27
10 -192.400467 27
11 -192.336868 27
12 -192.230621 27
13 -192.508865 27
14 -192.848877 27
15 -192.603760 27
Frame # 31
0 -245.582092 27
1 -164.740112 27
2 -177.298981 27
3 -183.724442 27
4 -187.062744 27
5 -189.750198 26
6 -190.874741 27
7 -192.281647 27
8 -192.907639 27
9 -192.681641 27
10 -193.145020 27
11 -193.050781 27
12 -193.499603 27
13 -193.711594 27
14 -193.833313 27
15 -193.068054 27
Frame # 32
0 -237.208389 27
1 -163.072891 27
2 -173.490509 27
3 -179.768646 27
4 -182.893967 27
5 -185.331635 27
6 -186.394547 26
7 -187.615494 27
8 -188.441299 27
9 -188.364944 27
10 -189.141022 27
11 -189.222488 27
12 -189.693558 27
13 -189.732285 27
14 -189.599838 27
15 -189.078262 27
Frame # 33
0 -236.831482 26
1 -162.702850 27
2 -177.032928 27
3 -183.021194 27
4 -185.998383 27
5 -188.424896 27
6 -189.645004 27
7 -191.224747 26
8 -191.548004 27
9 -191.503952 27
10 -191.841690 27
11 -191.770630 27
12 -191.937881 27
13 -192.046097 27
14 -192.159775 27
15 -191.954315 27
Frame # 34
0 -249.628098 27
1 -166.684753 27
2 -179.247314 27
3 -185.745895 27
4 -188.836700 27
5 -191.341019 26
6 -192.455841 27
7 -193.866394 27
8 -194.558090 27
9 -194.545258 27
10 -194.914429 27
11 -194.938797 27
12 -195.255554 27
13 -195.470062 27
14 -195.703720 27
15 -195.109146 27
Frame # 35
0 -239.748367 27
1 -164.924942 27
2 -176.944733 27
3 -182.757462 27
4 -185.643600 27
5 -187.982986 27
6 -189.381470 27
7 -190.784958 27
8 -191.353851 27
9 -191.308136 27
10 -191.654999 27
11 -191.676254 27
12 -191.938324 27
13 -191.860977 27
14 -191.765564 27
15 -191.398071 27
Frame # 36
0 -239.278412 27
1 -166.036545 27
2 -178.361359 27
3 -184.339386 27
4 -187.151428 27
5 -189.750580 27
6 -190.786896 27
7 -192.193604 27
8 -192.907639 27
9 -192.779343 27
10 -193.145020 27
11 -193.239578 27
12 -193.499146 27
13 -193.804138 27
14 -194.030182 27
