Frame # 0
0 -220.271164 27
1 -231.598160 27
2 -227.777710 27
3 -228.291977 27
4 -225.113403 27
5 -223.952957 27
6 -223.549927 27
7 -223.447723 27
8 -223.585922 27
9 -222.897537 27
10 -222.479507 27
11 -220.932587 27
12 -220.075500 27
13 -218.422546 27
14 -216.671463 27
15 -215.240692 27
Frame # 1
0 -223.188034 27
1 -229.560944 27
2 -230.877319 27
3 -229.962189 27
4 -229.016083 27
5 -227.134598 27
6 -225.834305 27
7 -225.472626 27
8 -224.750473 27
9 -223.388062 27
10 -223.317657 27
11 -222.914459 27
12 -221.928970 27
13 -220.736343 27
14 -219.526276 27
15 -217.652863 27
Frame # 2
0 -218.107025 27
1 -228.449707 27
2 -224.058167 27
3 -223.369751 27
4 -221.476364 27
5 -221.654556 27
6 -221.090973 27
7 -220.366302 27
8 -220.478806 27
9 -219.856232 27
10 -219.685730 27
11 -219.482208 27
12 -219.392670 27
13 -219.255997 27
14 -218.836731 27
15 -218.395065 27
Frame # 3
0 -215.001480 27
1 -224.375183 27
2 -225.918442 27
3 -227.588715 27
4 -226.709473 27
5 -225.543777 27
6 -225.922119 27
7 -222.567307 27
8 -223.391785 27
9 -222.308884 27
10 -218.009445 27
11 -216.650177 27
12 -215.978363 27
13 -215.738541 27
14 -214.406845 27
15 -213.292877 27
Frame # 4
0 -218.860245 27
1 -226.505035 27
2 -225.652252 27
3 -225.039963 27
4 -224.581238 27
5 -224.306458 27
6 -223.374786 27
7 -222.303162 27
8 -222.420486 27
9 -222.308884 27
10 -221.548248 27
11 -220.237411 27
12 -218.709259 27
13 -216.293854 27
14 -214.997940 27
15 -213.106827 27
Frame # 5
0 -216.789230 27
1 -224.838211 27
2 -222.464066 27
3 -222.578094 27
4 -221.742447 27
5 -220.594543 27
6 -220.036926 27
7 -219.661972 27
8 -219.702087 27
9 -218.581329 27
10 -217.450668 27
11 -217.310974 27
12 -216.563675 27
13 -216.109222 27
14 -214.899048 27
15 -213.014053 27
Frame # 6
0 -220.929321 27
1 -225.949448 27
2 -228.397614 27
3 -226.885483 27
4 -227.951721 27
5 -228.195160 27
6 -226.888367 27
7 -223.975967 27
8 -222.323853 27
9 -220.444870 27
10 -218.381927 27
11 -217.723831 27
12 -216.953873 27
13 -215.460876 27
14 -214.603729 27
15 -212.457886 27
Frame # 7
0 -224.223053 27
1 -229.283127 27
2 -230.257385 27
3 -228.732025 27
4 -227.862549 27
5 -228.283005 27
6 -227.766769 27
7 -227.673676 27
8 -226.400940 27
9 -224.957748 27
10 -222.293274 27
11 -221.087021 27
12 -219.490219 27
13 -218.422974 27
14 -217.458557 27
15 -215.611786 27
Frame # 8
0 -218.577469 27
1 -228.357101 27
2 -226.095062 27
3 -226.358047 27
4 -224.936020 27
5 -225.101868 27
6 -224.604019 27
7 -223.711823 27
8 -224.750473 27
9 -225.055862 27
10 -224.807678 27
11 -223.352646 27
12 -222.611298 27
13 -220.643799 27
14 -219.526276 27
15 -217.652863 27
Frame # 9
0 -224.128952 27
1 -229.190506 27
2 -230.877319 27
3 -228.819412 27
4 -227.419525 27
5 -225.454865 27
6 -225.482925 27
7 -225.296585 27
8 -225.235916 27
9 -224.565338 27
10 -223.597031 27
11 -222.786240 27
12 -221.928436 27
