Frame # 0
0 -131.258820 27
1 -131.587173 27
2 -138.737839 27
3 -141.791809 27
4 -142.713104 27
5 -143.615265 27
6 -143.615936 27
7 -143.417908 27
8 -143.393082 27
9 -142.940231 27
10 -142.575897 27
11 -142.261581 27
12 -142.073761 27
13 -141.603821 27
14 -141.460632 27
15 -140.926361 27
Frame # 1
0 -126.271927 27
1 -134.179764 27
2 -141.341995 27
3 -143.901535 27
4 -144.804291 27
5 -145.559586 27
6 -145.636551 27
7 -145.354797 27
8 -145.237320 27
9 -144.411835 27
10 -143.693741 27
11 -143.449188 27
12 -143.147110 27
13 -142.621887 27
14 -142.445038 27
15 -142.039368 27
Frame # 2
0 -123.919083 27
1 -135.383850 27
2 -140.456390 27
3 -142.846664 27
4 -143.474197 27
5 -144.234253 27
6 -144.230804 27
7 -144.033875 27
8 -143.781418 27
9 -143.921295 27
10 -143.600281 27
11 -143.111176 27
12 -142.952301 27
13 -142.529327 27
14 -142.149734 27
15 -141.019135 27
Frame # 3
0 -131.634903 27
1 -133.068802 27
2 -139.305099 27
3 -142.231323 27
4 -143.296844 27
5 -144.145859 27
6 -144.142960 27
7 -143.770081 27
8 -143.684326 27
9 -142.939941 27
10 -142.296524 27
11 -142.072784 27
12 -141.878601 27
13 -141.511261 27
14 -141.263748 27
15 -140.740799 27
Frame # 4
0 -133.705215 27
1 -131.772385 27
2 -137.586853 27
3 -140.649033 27
4 -141.789398 27
5 -142.731476 27
6 -142.913544 27
7 -142.713593 27
8 -142.713486 27
9 -141.959183 27
10 -141.458710 27
11 -140.995453 27
12 -140.512497 27
13 -140.123276 27
14 -139.787125 27
15 -139.256378 27
Frame # 5
0 -127.777122 27
1 -132.605789 27
2 -139.659332 27
3 -142.319244 27
4 -142.764801 27
5 -143.438828 27
6 -143.440262 27
7 -143.153473 27
8 -143.004761 27
9 -142.842133 27
10 -142.389633 27
11 -141.978378 27
12 -142.074081 27
13 -141.696365 27
14 -141.460632 27
15 -140.833572 27
Frame # 6
0 -132.105637 27
1 -133.346619 27
2 -141.128342 27
3 -144.077347 27
4 -145.019226 27
5 -145.647964 27
6 -145.548386 27
7 -145.266769 27
8 -145.140594 27
9 -144.902054 27
10 -144.438416 27
11 -144.149582 27
12 -143.927750 27
13 -143.362289 27
14 -142.937256 27
15 -142.225204 27
