Frame # 0
0 -124.013435 27
1 -171.868958 27
2 -167.201538 27
3 -164.735184 27
4 -162.581207 27
5 -160.849457 27
6 -159.075882 27
7 -155.655533 27
8 -154.072662 27
9 -152.554611 27
10 -150.398834 27
11 -149.247528 27
12 -148.026367 27
13 -146.879242 27
14 -145.890808 27
15 -144.451828 27
Frame # 1
0 -125.236633 27
1 -172.702393 27
2 -167.201935 27
3 -164.471451 27
4 -161.918335 27
5 -160.142426 27
6 -158.285324 27
7 -154.687103 27
8 -153.295654 27
9 -151.377701 27
10 -149.001938 27
11 -147.831207 27
12 -146.855438 27
13 -145.861191 27
14 -144.807648 27
15 -143.895523 27
Frame # 2
0 -129.471359 27
1 -172.054169 27
2 -167.290100 27
3 -164.296021 27
4 -161.782913 27
5 -159.081512 27
6 -157.055588 27
7 -153.366486 27
8 -151.742294 27
9 -150.592499 27
10 -148.815689 27
11 -147.925613 27
12 -147.538132 27
13 -146.509338 27
14 -145.398300 27
15 -143.895172 27
Frame # 3
0 -130.882172 27
1 -174.369614 27
2 -167.555786 27
3 -163.768219 27
4 -160.807251 27
5 -158.639984 27
6 -156.616028 27
7 -152.838257 27
8 -151.936798 27
9 -150.101974 27
10 -147.605042 27
11 -146.509598 27
12 -145.391754 27
13 -144.380356 27
14 -143.626343 27
15 -142.781860 27
Frame # 4
0 -127.213127 27
1 -172.702393 27
2 -163.836273 27
3 -161.043137 27
4 -158.767242 27
5 -156.960419 27
6 -155.386658 27
7 -152.486404 27
8 -151.062729 27
9 -149.317123 27
10 -146.953171 27
11 -145.754395 27
12 -145.098679 27
13 -143.917603 27
14 -143.232880 27
15 -141.854111 27
Frame # 5
0 -118.274078 27
1 -165.479431 27
2 -159.851059 27
3 -158.142609 27
4 -155.888519 27
5 -154.486191 27
6 -152.839325 27
7 -149.844879 27
8 -148.635620 27
9 -147.355011 27
10 -144.997513 27
11 -143.866379 27
12 -143.147446 27
13 -142.159409 27
14 -141.263748 27
15 -139.905807 27
Frame # 6
0 -123.166603 27
1 -165.572037 27
2 -162.950653 27
3 -160.515717 27
4 -158.146362 27
5 -156.342148 27
6 -155.034927 27
7 -151.605682 27
8 -150.286362 27
9 -148.336060 27
10 -146.208145 27
11 -145.093903 27
12 -144.318375 27
13 -143.269730 27
14 -142.445038 27
15 -141.297455 27
Frame # 7
0 -127.589218 27
1 -169.368729 27
2 -164.810425 27
3 -161.834656 27
4 -159.654205 27
5 -157.755829 27
6 -156.528549 27
7 -152.926285 27
8 -151.548141 27
9 -150.396286 27
10 -148.257248 27
11 -147.076004 27
12 -145.684143 27
13 -144.010452 27
14 -143.331314 27
15 -141.854111 27
Frame # 8
0 -128.247574 27
1 -172.239380 27
2 -164.987549 27
3 -161.746750 27
4 -158.726074 27
5 -156.342148 27
6 -154.420425 27
7 -151.077438 27
8 -149.703552 27
9 -148.826599 27
10 -146.860031 27
11 -145.848801 27
12 -145.098679 27
13 -143.917892 27
14 -142.937256 27
15 -141.575775 27
Frame # 9
0 -126.460114 27
1 -171.683762 27
2 -166.227386 27
3 -163.065338 27
4 -160.410873 27
5 -158.551620 27
6 -157.231262 27
7 -154.334930 27
8 -153.004410 27
9 -151.671661 27
10 -149.188202 27
11 -148.114410 27
12 -147.245743 27
13 -146.139145 27
14 -145.004837 27
15 -143.709610 27
Frame # 10
0 -129.282883 27
1 -174.461823 27
2 -168.264282 27
3 -164.999268 27
4 -161.960327 27
5 -160.053680 27
6 -158.109650 27
7 -154.951218 27
8 -153.878159 27
9 -151.867874 27
10 -149.560699 27
11 -148.303207 27
12 -147.147827 27
13 -145.953735 27
14 -145.398590 27
15 -144.359055 27
Frame # 11
0 -131.258820 27
1 -174.554413 27
2 -166.581635 27
3 -162.889526 27
4 -160.144852 27
5 -157.844223 27
6 -156.001526 27
7 -152.486084 27
8 -151.256882 27
9 -149.709549 27
10 -147.232544 27
11 -146.131989 27
12 -145.001099 27
13 -143.825348 27
14 -142.838821 27
15 -141.668564 27
Frame # 12
0 -126.459831 27
1 -170.387329 27
2 -163.216705 27
3 -160.516068 27
4 -157.928009 27
5 -156.077011 27
6 -154.508270 27
7 -151.253510 27
8 -149.800613 27
9 -148.140198 27
10 -145.928772 27
11 -144.621582 27
12 -144.123230 27
13 -143.084641 27
14 -142.346603 27
15 -141.204681 27
Frame # 13
0 -126.553925 27
1 -169.739120 27
2 -163.570587 27
3 -160.691513 27
4 -157.880264 27
5 -156.165375 27
6 -154.332230 27
7 -151.253510 27
8 -149.897705 27
9 -148.434158 27
10 -145.928772 27
11 -145.093903 27
12 -144.220795 27
13 -143.362289 27
14 -142.543793 27
15 -141.483002 27
Frame # 14
0 -126.177834 27
1 -169.461319 27
2 -163.836273 27
3 -160.955612 27
4 -158.105362 27
5 -156.342148 27
6 -154.771774 27
7 -151.605682 27
8 -150.286041 27
9 -149.219025 27
10 -147.046295 27
11 -146.226395 27
12 -144.611130 27
13 -143.917892 27
14 -142.937256 27
15 -141.297455 27
Frame # 15
0 -130.035614 27
1 -171.776367 27
2 -164.987549 27
3 -161.482681 27
4 -158.678528 27
5 -155.811508 27
6 -153.981232 27
7 -150.285080 27
8 -149.023956 27
9 -147.649323 27
10 -145.556259 27
11 -144.243988 27
12 -143.244675 27
13 -142.529327 27
14 -141.362488 27
15 -140.184143 27
Frame # 16
0 -125.707092 27
1 -170.109924 27
2 -163.482025 27
3 -161.043137 27
4 -158.501144 27
5 -156.342148 27
6 -154.771423 27
7 -150.901367 27
8 -149.800934 27
9 -147.943649 27
10 -145.835648 27
11 -144.810699 27
12 -144.123230 27
13 -143.084641 27
14 -141.953140 27
15 -140.740799 27
Frame # 17
0 -127.024384 27
1 -169.090912 27
2 -165.430359 27
3 -162.362106 27
4 -159.524124 27
5 -157.844589 27
6 -156.001526 27
7 -152.221970 27
8 -150.771454 27
9 -149.022797 27
10 -146.766907 27
11 -145.565598 27
12 -145.001450 27
13 -144.010452 27
14 -143.232590 27
15 -142.039658 27
Frame # 18
0 -126.553925 27
1 -171.591553 27
2 -165.430359 27
3 -162.449631 27
4 -159.565506 27
5 -157.579437 27
6 -155.737640 27
7 -152.133911 27
8 -150.868866 27
9 -148.728485 27
10 -146.487534 27
11 -145.659988 27
12 -145.196594 27
13 -144.195251 27
14 -143.724777 27
15 -142.225204 27
Frame # 19
0 -121.190941 27
1 -168.720505 27
2 -164.013397 27
3 -161.746384 27
4 -159.654205 27
5 -157.844589 27
6 -156.264664 27
7 -152.750198 27
8 -151.160141 27
9 -149.022797 27
10 -146.953171 27
11 -145.943192 27
12 -145.196594 27
13 -144.195251 27
14 -143.134445 27
15 -141.761337 27
Frame # 20
0 -117.897697 27
1 -167.053665 27
2 -163.924835 27
3 -162.098007 27
4 -159.701492 27
5 -158.109344 27
6 -156.265045 27
7 -153.542572 27
8 -152.227722 27
9 -150.887177 27
10 -148.443176 27
11 -147.359207 27
12 -146.660263 27
13 -145.861481 27
14 -144.807648 27
15 -143.338516 27
Frame # 21
0 -133.140381 27
1 -172.054169 27
2 -168.884186 27
3 -165.262619 27
4 -162.450363 27
5 -160.319199 27
6 -158.373154 27
7 -154.511017 27
8 -153.198883 27
9 -151.475449 27
10 -149.188202 27
11 -147.925919 27
12 -147.733627 27
13 -146.601593 27
14 -145.693634 27
15 -143.987946 27
Frame # 22
0 -124.860542 27
1 -172.331970 27
2 -164.279068 27
3 -161.834656 27
4 -159.388107 27
5 -157.490707 27
6 -155.737991 27
7 -152.398056 27
8 -151.159821 27
9 -149.317123 27
10 -146.766907 27
11 -145.565598 27
12 -144.805939 27
13 -143.825348 27
14 -142.937256 27
15 -141.761337 27
Frame # 23
0 -127.588936 27
1 -170.109528 27
2 -164.987915 27
3 -161.922195 27
4 -159.258118 27
5 -157.579437 27
6 -155.650162 27
7 -152.398056 27
8 -150.868546 27
9 -149.317123 27
10 -146.766907 27
11 -145.848801 27
12 -144.806290 27
13 -143.917892 27
14 -143.134140 27
15 -141.575775 27
Frame # 24
0 -129.658966 27
