Alpha,T1_Re0.072_M0.00_N0.1_XtrTop 5%, , 
            0, -0.0002179285, , 
         0.25,     0.0264633, , 
          0.5,    0.05339345, , 
         0.75,    0.08028826, , 
            1,     0.1071446, , 
         1.25,     0.1339585, , 
          1.5,     0.1607356, , 
         1.75,     0.1873743, , 
            2,     0.2135508, , 
         2.25,     0.2399391, , 
          2.5,      0.266244, , 
         2.75,     0.2924718, , 
            3,     0.3186182, , 
         3.25,     0.3446704, , 
          3.5,     0.3706324, , 
         3.75,     0.3964801, , 
            4,     0.4216726, , 
         4.25,     0.4472753, , 
          4.5,     0.4727497, , 
         4.75,     0.4980721, , 
            5,     0.5232347, , 
         5.25,     0.5482192, , 
          5.5,     0.5730056, , 
         5.75,     0.5957068, , 
            6,     0.6198964, , 
         6.25,     0.6438432, , 
          6.5,     0.6675008, , 
         6.75,     0.6908639, , 
            7,     0.7138547, , 
         7.25,     0.7361572, , 
          7.5,     0.7582045, , 
         7.75,     0.7785164, , 
            8,     0.7997368, , 
         8.25,     0.8203793, , 
          8.5,     0.8404646, , 
         8.75,     0.8598548, , 
            9,     0.8785204, , 
         9.25,     0.8963344, , 
          9.5,     0.9131944, , 
         9.75,     0.9278054, , 
           10,       0.94225, , 
        10.25,     0.9552999, , 
         10.5,     0.9665506, , 
        10.75,     0.9749673, , 
           11,     0.9804933, , 
        11.25,     0.9851468, , 
         11.5,     0.9878581, , 
        11.75,     0.9881589, , 
           12,     0.9857893, , 
        12.25,     0.9802242, , 
         12.5,     0.9711536, , 
        12.75,     0.9575413, , 
           13,     0.9383655, , 
        13.25,     0.9122939, , 
         13.5,     0.8753207, , 
        13.75,     0.7608718, , 
           14,     0.7307778, , 
        14.25,     0.7153364, , 
         14.5,     0.7073222, , 
        14.75,     0.7032423, , 
           15,      0.701528, , 
        15.25,      0.701477, , 
         15.5,     0.7026072, , 
        15.75,     0.7046688, , 
           16,     0.7071772, , 

