Alpha,T1_Re0.072_M0.00_N9.0, , 
            0,    0.01852935, , 
         0.25,    0.01858336, , 
          0.5,     0.0187827, , 
         0.75,    0.01919391, , 
            1,    0.01938174, , 
         1.25,      0.019302, , 
          1.5,    0.01895965, , 
         1.75,    0.01852897, , 
            2,    0.01809539, , 
         2.25,    0.01773083, , 
          2.5,    0.01750799, , 
         2.75,    0.01745028, , 
            3,    0.01741704, , 
         3.25,    0.01743347, , 
          3.5,    0.01752767, , 
         3.75,    0.01773759, , 
            4,    0.01796306, , 
         4.25,    0.01826162, , 
          4.5,    0.01862982, , 
         4.75,    0.01905745, , 
            5,    0.01958925, , 
         5.25,    0.02023803, , 
          5.5,    0.02095582, , 
         5.75,    0.02189455, , 
            6,    0.02280258, , 
         6.25,    0.02385565, , 
          6.5,     0.0250323, , 
         6.75,    0.02620161, , 
            7,    0.02765415, , 
         7.25,    0.02913183, , 
          7.5,    0.03071805, , 
         7.75,    0.03239372, , 
            8,    0.03412897, , 
         8.25,     0.0359957, , 
          8.5,    0.03904895, , 
         8.75,    0.04163766, , 
            9,    0.04402361, , 
         9.25,    0.04546311, , 
          9.5,     0.0491662, , 
         9.75,    0.05290682, , 
           10,    0.05710587, , 
        10.25,    0.06163396, , 
         10.5,    0.06640194, , 
        10.75,    0.07118393, , 
           11,    0.07653714, , 
         11.5,     0.1071914, , 
           12,     0.1430501, , 
        12.25,     0.1440032, , 
         12.5,     0.1474013, , 
        12.75,     0.1515173, , 
           13,     0.1605171, , 
        13.25,     0.1603542, , 
         13.5,     0.1624669, , 
        13.75,     0.1660505, , 
           14,     0.1716451, , 
        14.25,     0.1784803, , 
         14.5,     0.1776386, , 
        14.75,     0.1804244, , 
           15,     0.1915348, , 
        15.25,     0.1908559, , 
         15.5,     0.1912346, , 
        15.75,     0.1944723, , 
           16,     0.1984144, , 

