Alpha,T1_Re0.072_M0.00_N9.0, , 
            0,  2.485814e-08, , 
         0.25,   -0.02319082, , 
          0.5,   -0.03225289, , 
         0.75,    0.04414826, , 
            1,     0.1209868, , 
         1.25,     0.1978564, , 
          1.5,     0.2704493, , 
         1.75,     0.3251647, , 
            2,     0.3668019, , 
         2.25,     0.3978261, , 
          2.5,     0.4213913, , 
         2.75,     0.4406291, , 
            3,     0.4605019, , 
         3.25,     0.4805542, , 
          3.5,      0.500847, , 
         3.75,     0.5198319, , 
            4,     0.5393586, , 
         4.25,     0.5592409, , 
          4.5,     0.5778625, , 
         4.75,     0.5967237, , 
            5,     0.6148829, , 
         5.25,     0.6330416, , 
          5.5,     0.6505493, , 
         5.75,     0.6686493, , 
            6,     0.6864191, , 
         6.25,     0.7051629, , 
          6.5,     0.7246504, , 
         6.75,     0.7438671, , 
            7,     0.7644303, , 
         7.25,     0.7860751, , 
          7.5,     0.8050872, , 
         7.75,     0.8256308, , 
            8,     0.8431994, , 
         8.25,     0.8624425, , 
          8.5,     0.8800823, , 
         8.75,      0.889697, , 
            9,      0.899529, , 
         9.25,     0.9202383, , 
          9.5,     0.9241993, , 
         9.75,     0.9217332, , 
           10,     0.9140881, , 
        10.25,     0.9010173, , 
         10.5,     0.8831301, , 
        10.75,     0.8612922, , 
           11,      0.840299, , 
         11.5,     0.7176832, , 
           12,     0.6632052, , 
        12.25,     0.6179449, , 
         12.5,     0.6207722, , 
        12.75,     0.6393005, , 
           13,     0.6826592, , 
        13.25,     0.6404635, , 
         13.5,     0.6312112, , 
        13.75,     0.6402112, , 
           14,     0.6652428, , 
        14.25,     0.6777538, , 
         14.5,     0.6513422, , 
        14.75,     0.6554369, , 
           15,     0.7057987, , 
        15.25,     0.6820434, , 
         15.5,     0.6703686, , 
        15.75,     0.6762978, , 
           16,     0.6882103, , 

