Alpha,T1_Re0.072_M0.00_N9.0, , 
            0, -4.385563e-09, , 
         0.25,   0.005974726, , 
          0.5,   0.009698797, , 
         0.75, -0.0007699705, , 
            1,   -0.01086472, , 
         1.25,   -0.02044946, , 
          1.5,   -0.02862862, , 
         1.75,   -0.03295328, , 
            2,   -0.03438379, , 
         2.25,   -0.03355495, , 
          2.5,   -0.03137024, , 
         2.75,   -0.02872117, , 
            3,   -0.02610209, , 
         3.25,   -0.02351208, , 
          3.5,   -0.02100699, , 
         3.75,   -0.01873431, , 
            4,   -0.01645202, , 
         4.25,   -0.01421228, , 
          4.5,   -0.01210141, , 
         4.75,  -0.009947919, , 
            5,  -0.007877803, , 
         5.25,  -0.005821216, , 
          5.5,  -0.003817642, , 
         5.75,  -0.001967417, , 
            6, -0.0001086447, , 
         6.25,   0.001562616, , 
          6.5,   0.003089889, , 
         6.75,   0.004572438, , 
            7,   0.005842195, , 
         7.25,   0.006923052, , 
          7.5,   0.008438575, , 
         7.75,   0.009316295, , 
            8,    0.01105659, , 
         8.25,    0.01228607, , 
          8.5,    0.01333474, , 
         8.75,    0.01567619, , 
            9,    0.01763839, , 
         9.25,    0.01818332, , 
          9.5,    0.02009554, , 
         9.75,    0.02248639, , 
           10,    0.02467952, , 
        10.25,    0.02658657, , 
         10.5,    0.02806801, , 
        10.75,    0.02931003, , 
           11,    0.02924639, , 
         11.5,   0.008798283, , 
           12,   -0.01178296, , 
        12.25,   -0.01849202, , 
         12.5,      -0.01951, , 
        12.75,   -0.01864431, , 
           13,   -0.01472955, , 
        13.25,   -0.02161296, , 
         13.5,   -0.02425691, , 
        13.75,     -0.024729, , 
           14,   -0.02334381, , 
        14.25,   -0.02352122, , 
         14.5,   -0.02879566, , 
        14.75,   -0.03017051, , 
           15,   -0.02463917, , 
        15.25,   -0.03016892, , 
         15.5,   -0.03429365, , 
        15.75,   -0.03570798, , 
           16,   -0.03591996, , 

