c_p,Points_0,Points_1,Points_2
1.00492,-17.5492,0.306481,0
1.00511,-17.5472,0.397851,0
0.985592,-17.5391,0.49775,0
0.938752,-17.5189,0.60624,0
0.863711,-17.4861,0.723342,0
0.762656,-17.44,0.848679,0
0.639738,-17.377,0.981445,0
0.5016,-17.2959,1.12134,0
0.353353,-17.1951,1.26784,0
0.201409,-17.0722,1.42,0
0.0516377,-16.9255,1.57744,0
-0.0930319,-16.7528,1.73942,0
-0.229971,-16.5519,1.90501,0
-0.357328,-16.3202,2.07341,0
-0.473809,-16.0549,2.24347,0
-0.577726,-15.753,2.41374,0
-0.668249,-15.4112,2.58276,0
-0.74396,-15.0259,2.74838,0
-0.803566,-14.5933,2.90861,0
-0.845985,-14.1092,3.06066,0
-0.870696,-13.5691,3.20201,0
-0.87731,-12.9684,3.32943,0
-0.86582,-12.3022,3.44054,0
-0.837297,-11.5649,3.53289,0
-0.795114,-10.7508,3.60555,0
-0.749507,-9.85332,3.65883,0
-0.707421,-8.86484,3.69086,0
-0.665678,-7.77697,3.69778,0
-0.620672,-6.58048,3.6759,0
-0.572585,-5.26526,3.62108,0
-0.521712,-3.82021,3.52882,0
-0.467952,-2.23308,3.39439,0
-0.411259,-0.490443,3.2127,0
-0.351499,1.42254,2.97825,0
-0.288345,3.5222,2.68501,0
-0.22046,5.82644,2.32599,0
-0.145579,8.3548,1.89256,0
-0.055023,11.1283,1.37286,0
0.0594059,14.1695,0.751658,0
0.13789,17.5,-5.0487e-06,0
0.987244,-17.5422,0.216644,0
0.943628,-17.529,0.118651,0
0.867644,-17.5035,0.0128145,0
0.758759,-17.4639,-0.100298,0
0.618112,-17.4081,-0.21963,0
0.451907,-17.3329,-0.343474,0
0.275934,-17.2353,-0.469453,0
0.110504,-17.1135,-0.595699,0
-0.0324153,-16.967,-0.721197,0
-0.147202,-16.7942,-0.84439,0
-0.229616,-16.5941,-0.964642,0
-0.284223,-16.3659,-1.08228,0
-0.319479,-16.1079,-1.19749,0
-0.340428,-15.8184,-1.31053,0
-0.353286,-15.4954,-1.42239,0
-0.362889,-15.1361,-1.53339,0
-0.371054,-14.7376,-1.64422,0
-0.379626,-14.2963,-1.75519,0
-0.390234,-13.8084,-1.86663,0
-0.403664,-13.2692,-1.97821,0
-0.419995,-12.6739,-2.08937,0
-0.438703,-12.0167,-2.19857,0
-0.457378,-11.2914,-2.30322,0
-0.470189,-10.491,-2.39854,0
-0.471119,-9.60806,-2.48004,0
-0.461616,-8.63486,-2.54503,0
-0.445922,-7.56293,-2.59043,0
-0.425192,-6.38295,-2.61298,0
-0.399379,-5.08474,-2.60901,0
-0.368618,-3.65712,-2.57462,0
-0.33336,-2.08779,-2.50566,0
-0.293981,-0.363235,-2.39771,0
-0.25054,1.53142,-2.24595,0
-0.202765,3.61256,-2.0451,0
-0.149501,5.89814,-1.78898,0
-0.0883773,8.40781,-1.46986,0
-0.0115711,11.1628,-1.07688,0
0.092691,14.1859,-0.596043,0
