X,NACA 0012-Re=   7e+04-Alpha=16.00-NCrit=  1.0-XTrTop=0.010-XtrBot=1.000, , 
            1,    -0.3722126, , 
    0.9928006,    -0.3738224, , 
    0.9798895,    -0.3767363, , 
    0.9635184,    -0.3804769, , 
    0.9445469,    -0.3848874, , 
    0.9234998,    -0.3898835, , 
    0.9007495,    -0.3954152, , 
     0.876583,    -0.4014516, , 
    0.8512328,    -0.4079742, , 
    0.8248944,    -0.4149731, , 
    0.7977362,    -0.4224452, , 
    0.7699063,     -0.430393, , 
    0.7415373,    -0.4388235, , 
    0.7127487,    -0.4477486, , 
      0.68365,    -0.4571842, , 
    0.6543419,    -0.4671507, , 
    0.6249182,    -0.4776729, , 
    0.5954661,    -0.4887805, , 
    0.5660677,    -0.5005085, , 
    0.5368005,    -0.5128975, , 
    0.5077378,    -0.5259948, , 
    0.4789491,    -0.5398551, , 
    0.4505011,    -0.5545415, , 
    0.4224571,    -0.5701268, , 
    0.3948782,    -0.5866956, , 
    0.3678229,    -0.6043459, , 
    0.3413476,    -0.6231915, , 
    0.3155065,    -0.6433662, , 
    0.2903524,    -0.6650267, , 
    0.2659361,    -0.6883591, , 
    0.2423068,    -0.7135854, , 
    0.2195125,    -0.7409731, , 
    0.1975998,    -0.7708481, , 
    0.1766138,    -0.8036128, , 
    0.1565988,    -0.8397714, , 
    0.1375977,    -0.8805427, , 
    0.1196525,    -0.9263357, , 
    0.1028043,    -0.9781349, , 
   0.08709309,     -1.037337, , 
   0.07255816,     -1.105773, , 
   0.05923792,     -1.185269, , 
   0.04717001,     -1.280378, , 
   0.03639132,     -1.397011, , 
   0.02693808,     -1.544468, , 
   0.01884581,     -1.738409, , 
   0.01214942,     -2.008678, , 
  0.006883198,     -2.296627, , 
  0.003080868,     -2.631119, , 
 0.0007755917,     -2.627651, , 
            0,     -1.886993, , 
 0.0007755917,    -0.7545821, , 
  0.003080868,      0.198404, , 
  0.006883198,     0.7283845, , 
   0.01214942,     0.9479414, , 
   0.01884581,     0.9999379, , 
   0.02693808,     0.9745217, , 
   0.03639132,     0.9142963, , 
   0.04717001,     0.8435298, , 
   0.05923792,     0.7683063, , 
   0.07255816,     0.6968761, , 
   0.08709309,      0.628303, , 
    0.1028043,     0.5650324, , 
    0.1196525,     0.5064585, , 
    0.1375977,     0.4526523, , 
    0.1565988,     0.4033075, , 
    0.1766138,     0.3581089, , 
    0.1975998,     0.3167282, , 
    0.2195125,     0.2788421, , 
    0.2423068,     0.2441388, , 
    0.2659361,     0.2123207, , 
    0.2903524,     0.1831043, , 
    0.3155065,     0.1562194, , 
    0.3413476,     0.1314088, , 
    0.3678229,     0.1084276, , 
    0.3948782,    0.08704236, , 
    0.4224571,    0.06703152, , 
    0.4505011,    0.04818511, , 
    0.4789491,    0.03030474, , 
    0.5077378,    0.01320395, , 
    0.5368005,  -0.003291999, , 
    0.5660677,   -0.01934572, , 
    0.5954661,    -0.0351081, , 
    0.6249182,   -0.05071832, , 
    0.6543419,   -0.06630444, , 
      0.68365,   -0.08198405, , 
    0.7127487,   -0.09786492, , 
    0.7415373,    -0.1140476, , 
    0.7699063,    -0.1306262, , 
    0.7977362,    -0.1476921, , 
    0.8248944,    -0.1653378, , 
    0.8512328,    -0.1836614, , 
     0.876583,    -0.2027729, , 
    0.9007495,    -0.2228017, , 
    0.9234998,    -0.2438975, , 
    0.9445469,    -0.2662476, , 
    0.9635184,    -0.2899276, , 
    0.9798895,    -0.3154023, , 
    0.9928006,    -0.3398376, , 
            1,    -0.3722126, , 

